dataset,seed,degradation,severity,baseline_model,stronger_model,true_label,true_class_count,baseline_correct_count,stronger_correct_count,baseline_recall,stronger_recall,recall_delta_stronger_minus_baseline,higher_recall_model,baseline_share_of_all_correct,stronger_share_of_all_correct,baseline_correct_contribution_rank,stronger_correct_contribution_rank,baseline_predicted_count,stronger_predicted_count,baseline_prediction_share,stronger_prediction_share,baseline_prediction_rank,stronger_prediction_rank,validation_split,validation_track_hash,track_overlap
GTSRB,42,none,0,GTSRBCNN,ResNet18,0,60,30,57,0.5,0.95,0.44999999999999996,ResNet18,0.0027327382036800873,0.004723235001657275,42,41,49,58,0.0038796516231195564,0.004592240696753761,41,42,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,1,720,668,709,0.9277777777777778,0.9847222222222223,0.056944444444444464,ResNet18,0.06084897066860995,0.058750414318859794,2,3,740,787,0.05859065716547902,0.06231195566112431,2,1,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,2,750,622,742,0.8293333333333334,0.9893333333333333,0.15999999999999992,ResNet18,0.05665877208963381,0.06148491879350348,6,1,660,762,0.052256532066508314,0.06033254156769596,7,2,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,3,450,369,448,0.82,0.9955555555555555,0.17555555555555558,ResNet18,0.03361267990526508,0.037122969837587005,14,11,459,575,0.03634204275534442,0.045526524148851936,13,8,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,4,660,593,654,0.8984848484848484,0.990909090909091,0.09242424242424252,ResNet18,0.05401712515940973,0.05419290686112032,7,5,691,714,0.05471100554235946,0.056532066508313536,3,4,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,5,630,495,458,0.7857142857142857,0.726984126984127,-0.058730158730158744,GTSRBCNN,0.045090180360721446,0.037951607557176005,8,10,673,465,0.05328582739509105,0.03681710213776722,5,12,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,6,150,89,140,0.5933333333333334,0.9333333333333333,0.33999999999999997,ResNet18,0.00810712333758426,0.01160092807424594,29,26,89,140,0.007046714172604909,0.011084718923198733,34,26,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,7,450,333,445,0.74,0.9888888888888889,0.24888888888888894,ResNet18,0.03033339406084897,0.036874378521710306,15,12,399,468,0.031591448931116387,0.03705463182897862,14,11,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,8,450,381,418,0.8466666666666667,0.9288888888888889,0.0822222222222222,ResNet18,0.03470577518673711,0.03463705667882002,12,13,507,427,0.040142517814726844,0.033808392715756135,11,14,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,9,480,468,479,0.975,0.9979166666666667,0.022916666666666696,ResNet18,0.04263071597740936,0.03969174676831289,9,8,528,498,0.04180522565320665,0.039429928741092635,10,9,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
