dataset,model,seed,degradation,severity,num_examples,accuracy,mean_confidence,confidence_accuracy_gap,ece,fixed_hcer_threshold,hcer_fixed,hcer_fixed_selected_count,hcer_fixed_wrong_count,hcer_fixed_coverage,hcer_fixed_conditional_error,failure_detection_auroc,rank_hcer_top_fraction,hcer_rank,hcer_rank_coverage,hcer_rank_conditional_error,rank_high_confidence_accuracy,validation_split,validation_track_hash,track_overlap
GTSRB,GTSRBCNN,42,none,0,12630,0.869200316706255,0.94428799833014,0.0750876816238851,0.075087681623885,0.9,0.0448139350752177,10675,566,0.8452098178939034,0.05302107728337237,0.9215534580055996,0.1,7.917656373713381e-05,0.1,0.000791765637371338,0.9992082343626286,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,1,12630,0.8547110055423595,0.938591002225168,0.0838799966828085,0.0838799966828084,0.9,0.0520190023752969,10450,657,0.8273950910530483,0.06287081339712919,0.9128779470766186,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,2,12630,0.8224069675376089,0.9261739141489906,0.1037669466113817,0.1037669466113817,0.9,0.0627870150435471,10043,793,0.7951702296120349,0.07896046997908991,0.8986564149320537,0.1,0.0001583531274742,0.1,0.001583531274742,0.998416468725258,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,3,12630,0.7737925574030087,0.90780306526313,0.1340105078601214,0.1340105078601214,0.9,0.0797307996832937,9458,1007,0.7488519398258116,0.10647071262423345,0.8776617742173305,0.1,0.0001583531274742,0.1,0.001583531274742,0.998416468725258,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,4,12630,0.7167854315122724,0.8869955838115935,0.1702101522993211,0.170210152299321,0.9,0.0909738717339667,8762,1149,0.6937450514647664,0.131134444190824,0.8619547342443148,0.1,0.0001583531274742,0.1,0.001583531274742,0.998416468725258,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,5,12630,0.6630245447347585,0.8637348310539672,0.2007102863192087,0.2007185985196326,0.9,0.105938242280285,8062,1338,0.6383214568487727,0.16596378069957826,0.840323684704357,0.1,0.0002375296912114,0.1,0.0023752969121139996,0.997624703087886,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,1,12630,0.7755344418052257,0.8995689859594604,0.1240345441542347,0.1240345441542347,0.9,0.0572446555819477,9303,723,0.7365795724465558,0.07771686552724927,0.9091614787445994,0.1,0.0001583531274742,0.1,0.001583531274742,0.998416468725258,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,2,12630,0.5821852731591449,0.8663915682740374,0.2842062951148925,0.2842062951148925,0.9,0.1494853523357086,8124,1888,0.643230403800475,0.2323978335795175,0.869117927860064,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,3,12630,0.4444180522565321,0.8343128239610604,0.3898947717045283,0.3899988102315912,0.9,0.198258115597783,7106,2504,0.5626286619160729,0.35237827188291587,0.8416590961641324,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,4,12630,0.3590657165479018,0.791630590518882,0.4325648739709801,0.4326070204294586,0.9,0.1925574030087094,5882,2432,0.46571654790182104,0.4134648078884733,0.814665265626692,0.1,0.0022961203483768,0.1,0.022961203483768,0.977038796516232,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,5,12630,0.2832937450514647,0.750585960549017,0.4672922154975523,0.4672922154975523,0.9,0.1741884402216943,4683,2200,0.3707838479809976,0.46978432628656847,0.7957756093789636,0.1,0.0138558986539984,0.1,0.138558986539984,0.861441013460016,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,1,12630,0.8661124307205067,0.9412586587943544,0.0751462280738476,0.0751462280738476,0.9,0.0452889944576405,10597,572,0.8390340459224069,0.053977540813437766,0.9210843109379906,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,2,12630,0.8552652414885193,0.9340549025015046,0.0787896610129852,0.0787896610129851,0.9,0.0456848772763262,10358,577,0.820110847189232,0.05570573469781811,0.9143809021913034,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,3,12630,0.8285035629453682,0.9172609943970272,0.0887574314516589,0.088757431451659,0.9,0.0446555819477434,9827,564,0.778068091844814,0.0573928971201791,0.9113364936211847,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,4,12630,0.7758511480601742,0.888849439152818,0.1129982910926438,0.1130000588965623,0.9,0.046793349168646,8983,591,0.711243072050673,0.06579093843927418,0.9091039862378276,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,5,12630,0.6860649247822644,0.8328922373358446,0.1468273125535801,0.1468273125535801,0.9,0.0475059382422802,7387,600,0.5848772763262075,0.0812237714904562,0.8934519078870293,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,none,0,12630,0.9555027711797308,0.9766098803326616,0.0211071091529309,0.021914627594742,0.9,0.0177355502771179,11900,224,0.9422011084718923,0.018823529411764704,0.9587262481761123,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,1,12630,0.9482977038796516,0.972694990556814,0.0243972866771623,0.0250037934592765,0.9,0.0197941409342834,11815,250,0.935471100554236,0.021159542953872196,0.9565625463097276,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,2,12630,0.933729216152019,0.9663120614672972,0.0325828453152782,0.0327874598256293,0.9,0.0216152019002375,11607,273,0.9190023752969121,0.023520289480485915,0.9527196590407955,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,3,12630,0.9050673000791766,0.9485632519086532,0.0434959518294766,0.0434959518294766,0.9,0.0274742676167854,11032,347,0.8734758511480601,0.03145395213923133,0.9430539431972041,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,4,12630,0.8423594615993666,0.9140467587684414,0.0716872971690748,0.0721693260617323,0.9,0.0363420427553444,10043,459,0.7951702296120349,0.045703475057253806,0.9309854208587578,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,blur,5,12630,0.7417260490894695,0.8619132943563488,0.1201872452668793,0.1201872452668793,0.9,0.0525732383214568,8587,664,0.679889152810768,0.07732619075346454,0.9033784997232842,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,noise,1,12630,0.8612826603325415,0.9244925692848572,0.0632099089523157,0.0632099089523156,0.9,0.0352335708630245,10465,445,0.8285827395091053,0.042522694696607743,0.9411538757796096,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,noise,2,12630,0.7134600158353127,0.8037770397282742,0.0903170238929614,0.0903170238929613,0.9,0.0368171021377672,7918,465,0.6269200316706255,0.05872695125031573,0.9215727061539627,0.1,7.917656373713381e-05,0.1,0.000791765637371338,0.9992082343626286,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,noise,3,12630,0.5619160728424386,0.6806114268888109,0.1186953540463723,0.1187265443853792,0.9,0.0250989707046714,5626,317,0.4454473475851148,0.05634553857092073,0.9167612588269427,0.1,0.0002375296912114,0.1,0.0023752969121139996,0.997624703087886,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,noise,4,12630,0.4092636579572447,0.5989344304785875,0.1896707725213428,0.1896707725213429,0.9,0.0210609659540775,3786,266,0.2997624703087886,0.07025884838880085,0.9016441308306774,0.1,0.0004750593824228,0.1,0.004750593824227999,0.995249406175772,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,noise,5,12630,0.2801266825019794,0.5738647136592431,0.2937380311572636,0.2937380311572636,0.9,0.0256532066508313,2594,324,0.2053840063341251,0.12490362374710871,0.8664029366786897,0.1,0.0011084718923198,0.1,0.011084718923198,0.988915281076802,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,low_light,1,12630,0.9524148851939824,0.9751625874404952,0.0227477022465126,0.0229885759022343,0.9,0.0177355502771179,11845,224,0.93784639746635,0.018910932883073026,0.9576718299605682,0.1,7.917656373713381e-05,0.1,0.000791765637371338,0.9992082343626286,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,low_light,2,12630,0.9486144101346,0.971507532331836,0.0228931221972358,0.0236635024242711,0.9,0.0178147268408551,11738,225,0.9293745051464767,0.01916851252342818,0.9521397451460447,0.1,7.917656373713381e-05,0.1,0.000791765637371338,0.9992082343626286,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,low_light,3,12630,0.9348376880443388,0.9618795030125764,0.0270418149682376,0.0270418149682376,0.9,0.0188440221694378,11471,238,0.9082343626286619,0.020747973149681805,0.9536362523992346,0.1,0.0,0.1,0.0,1.0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
