dataset,seed,degradation,severity,baseline_model,stronger_model,num_examples,baseline_correct_count,stronger_correct_count,baseline_accuracy,stronger_accuracy,accuracy_delta_stronger_minus_baseline,both_correct,baseline_only_correct,stronger_only_correct,both_wrong,both_correct_rate,baseline_only_correct_rate,stronger_only_correct_rate,both_wrong_rate,correct_set_union_count,correct_set_jaccard,prediction_agreement_count,prediction_agreement_rate,both_wrong_same_class_count,both_wrong_different_class_count,same_wrong_class_rate_among_both_wrong,validation_split,validation_track_hash,track_overlap
GTSRB,42,none,0,GTSRBCNN,ResNet18,12630,10978,12068,0.869200316706255,0.9555027711797308,0.08630245447347584,10696,282,1372,280,0.8468725257323833,0.022327790973871733,0.10863024544734759,0.022169437846397466,12350,0.8660728744939271,10769,0.8526524148851939,73,207,0.26071428571428573,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,12630,10795,11977,0.8547110055423595,0.9482977038796516,0.09358669833729216,10490,305,1487,348,0.8305621536025336,0.02414885193982581,0.11773555027711798,0.027553444180522565,12282,0.8540954241980133,10571,0.8369754552652415,81,267,0.23275862068965517,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,2,GTSRBCNN,ResNet18,12630,10387,11793,0.8224069675376089,0.933729216152019,0.11132224861441009,10041,346,1752,491,0.7950118764845606,0.0273950910530483,0.13871733966745844,0.0388756927949327,12139,0.8271686300354231,10128,0.8019002375296912,87,404,0.17718940936863545,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,3,GTSRBCNN,ResNet18,12630,9773,11431,0.7737925574030087,0.9050673000791766,0.1312747426761679,9309,464,2122,735,0.7370546318289786,0.036737925574030085,0.16801266825019795,0.05819477434679335,11895,0.7825977301387137,9433,0.7468725257323832,124,611,0.16870748299319727,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,4,GTSRBCNN,ResNet18,12630,9053,10639,0.7167854315122724,0.8423594615993666,0.12557403008709422,8264,789,2375,1202,0.6543151227236738,0.06247030878859858,0.1880443388756928,0.09517022961203483,11428,0.7231361568078404,8450,0.6690419635787807,186,1016,0.15474209650582363,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,5,GTSRBCNN,ResNet18,12630,8374,9368,0.6630245447347585,0.7417260490894695,0.07870150435471102,7126,1248,2242,2014,0.5642121931908155,0.098812351543943,0.177513855898654,0.1594615993665875,10616,0.6712509419743783,7447,0.5896278701504355,321,1693,0.15938430983118174,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,noise,1,GTSRBCNN,ResNet18,12630,9795,10878,0.7755344418052257,0.8612826603325415,0.08574821852731584,9208,587,1670,1165,0.7290577988915281,0.04647664291369755,0.13222486144101345,0.09224069675376088,11465,0.803139991277802,9411,0.7451306413301663,203,962,0.1742489270386266,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,noise,2,GTSRBCNN,ResNet18,12630,7353,9011,0.5821852731591449,0.7134600158353127,0.1312747426761678,6596,757,2415,2862,0.5222486144101346,0.059936658749010295,0.19121140142517815,0.22660332541567696,9768,0.6752661752661753,6781,0.5368962787015044,185,2677,0.06464011180992313,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,noise,3,GTSRBCNN,ResNet18,12630,5613,7097,0.4444180522565321,0.5619160728424386,0.11749802058590653,4550,1063,2547,4470,0.3602533650039588,0.08416468725257324,0.2016627078384798,0.35391923990498814,8160,0.5575980392156863,4652,0.36832937450514647,102,4368,0.022818791946308724,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,noise,4,GTSRBCNN,ResNet18,12630,4535,5169,0.3590657165479018,0.4092636579572447,0.05019794140934286,3085,1450,2084,6011,0.2442596991290578,0.11480601741884403,0.16500395882818686,0.4759303246239113,6619,0.4660824898020849,3152,0.24956452889944578,67,5944,0.011146231908168358,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
