dataset,model,seed,degradation,severity,trust_signal,performance_signal,confidence_signal,rule_channel,rule,rule_label,deterioration_value,caution_threshold,do_not_trust_threshold,rule_signal,triggered,is_channel_driver,is_overall_driver,gap_direction,validation_split,validation_track_hash,track_overlap
GTSRB,GTSRBCNN,42,none,0,trust,trust,trust,confidence,ece_increase,ECE increase,0.0,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,none,0,trust,trust,trust,confidence,fixed_hcer_increase,fixed HCER increase,0.0,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,none,0,trust,trust,trust,confidence,gap_deterioration,confidence gap deterioration,0.0,0.05,0.12,trust,False,False,False,unchanged,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,none,0,trust,trust,trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.0,0.05,0.15,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,none,0,trust,trust,trust,performance,relative_error_increase,relative error increase,0.0,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,1,trust,trust,trust,confidence,ece_increase,ECE increase,0.008792315058923403,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,1,trust,trust,trust,confidence,fixed_hcer_increase,fixed HCER increase,0.0072050673000792,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,1,trust,trust,trust,confidence,gap_deterioration,confidence gap deterioration,0.008792315058923403,0.05,0.12,trust,False,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,1,trust,trust,trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.014489311163895513,0.05,0.15,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,1,trust,trust,trust,performance,relative_error_increase,relative error increase,0.11077481840193726,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,2,trust,trust,trust,confidence,ece_increase,ECE increase,0.02867926498749669,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,2,trust,trust,trust,confidence,fixed_hcer_increase,fixed HCER increase,0.0179730799683294,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,2,trust,trust,trust,confidence,gap_deterioration,confidence gap deterioration,0.028679264987496594,0.05,0.12,trust,False,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,2,trust,trust,trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.04679334916864608,0.05,0.15,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,2,trust,trust,trust,performance,relative_error_increase,relative error increase,0.35774818401937053,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,3,caution,caution,caution,confidence,ece_increase,ECE increase,0.05892282623623639,0.03,0.08,caution,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,3,caution,caution,caution,confidence,fixed_hcer_increase,fixed HCER increase,0.034916864608076005,0.02,0.07,caution,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,3,caution,caution,caution,confidence,gap_deterioration,confidence gap deterioration,0.05892282623623629,0.05,0.12,caution,True,True,True,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,3,caution,caution,caution,performance,absolute_accuracy_drop,absolute accuracy drop,0.0954077593032463,0.05,0.15,caution,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,3,caution,caution,caution,performance,relative_error_increase,relative error increase,0.7294188861985478,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,4,do_not_trust,do_not_trust,do_not_trust,confidence,ece_increase,ECE increase,0.09512247067543599,0.03,0.08,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,4,do_not_trust,do_not_trust,do_not_trust,confidence,fixed_hcer_increase,fixed HCER increase,0.046159936658749005,0.02,0.07,caution,True,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,4,do_not_trust,do_not_trust,do_not_trust,confidence,gap_deterioration,confidence gap deterioration,0.095122470675436,0.05,0.12,caution,True,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
