dataset,seed,degradation,severity,validation_split,validation_track_hash,num_examples,GTSRBCNN_accuracy,GTSRBCNN_balanced_accuracy,GTSRBCNN_mean_confidence,GTSRBCNN_confidence_accuracy_gap,GTSRBCNN_ece,GTSRBCNN_hcer_fixed,ResNet18_accuracy,ResNet18_balanced_accuracy,ResNet18_mean_confidence,ResNet18_confidence_accuracy_gap,ResNet18_ece,ResNet18_hcer_fixed,accuracy_delta_ResNet18_minus_GTSRBCNN,balanced_accuracy_delta_ResNet18_minus_GTSRBCNN,mean_confidence_delta_ResNet18_minus_GTSRBCNN,confidence_accuracy_gap_delta_ResNet18_minus_GTSRBCNN,ece_delta_ResNet18_minus_GTSRBCNN,hcer_fixed_delta_ResNet18_minus_GTSRBCNN
GTSRB,42,none,0,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.869200316706255,0.8168022500006829,0.94428799833014,0.0750876816238851,0.075087681623885,0.0448139350752177,0.9555027711797308,0.9480441699445742,0.9766098803326616,0.0211071091529309,0.021914627594742,0.0177355502771179,0.08630245447347584,0.13124191994389134,0.03232188200252162,-0.0539805724709542,-0.053173054029143005,-0.0270783847980998
GTSRB,42,blur,1,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.8547110055423595,0.8052676799663656,0.938591002225168,0.0838799966828085,0.0838799966828084,0.0520190023752969,0.9482977038796516,0.9396011338958762,0.972694990556814,0.0243972866771623,0.0250037934592765,0.0197941409342834,0.09358669833729216,0.13433345392951057,0.03410398833164596,-0.0594827100056462,-0.0588762032235319,-0.0322248614410135
GTSRB,42,blur,2,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.8224069675376089,0.765317452367503,0.9261739141489906,0.1037669466113817,0.1037669466113817,0.0627870150435471,0.933729216152019,0.9164358691153432,0.9663120614672972,0.0325828453152782,0.0327874598256293,0.0216152019002375,0.11132224861441009,0.1511184167478402,0.04013814731830656,-0.0711841012961035,-0.07097948678575239,-0.0411718131433096
GTSRB,42,blur,3,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.7737925574030087,0.7055473841778189,0.90780306526313,0.1340105078601214,0.1340105078601214,0.0797307996832937,0.9050673000791766,0.8816196665933774,0.9485632519086532,0.0434959518294766,0.0434959518294766,0.0274742676167854,0.1312747426761679,0.1760722824155585,0.040760186645523167,-0.09051455603064479,-0.09051455603064479,-0.05225653206650831
GTSRB,42,blur,4,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.7167854315122724,0.6498893794667303,0.8869955838115935,0.1702101522993211,0.170210152299321,0.0909738717339667,0.8423594615993666,0.7956235485482199,0.9140467587684414,0.0716872971690748,0.0721693260617323,0.0363420427553444,0.12557403008709422,0.14573416908148962,0.027051174956847945,-0.09852285513024629,-0.09804082623758868,-0.0546318289786223
GTSRB,42,blur,5,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.6630245447347585,0.5951430353996077,0.8637348310539672,0.2007102863192087,0.2007185985196326,0.105938242280285,0.7417260490894695,0.6740042377294653,0.8619132943563488,0.1201872452668793,0.1201872452668793,0.0525732383214568,0.07870150435471102,0.0788612023298576,-0.00182153669761842,-0.08052304105232941,-0.08053135325275332,-0.053365003958828205
GTSRB,42,noise,1,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.7755344418052257,0.7194983854758881,0.8995689859594604,0.1240345441542347,0.1240345441542347,0.0572446555819477,0.8612826603325415,0.8386189229730686,0.9244925692848572,0.0632099089523157,0.0632099089523156,0.0352335708630245,0.08574821852731584,0.11912053749718055,0.024923583325396792,-0.06082463520191901,-0.06082463520191911,-0.0220110847189232
GTSRB,42,noise,2,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.5821852731591449,0.5418285118151144,0.8663915682740374,0.2842062951148925,0.2842062951148925,0.1494853523357086,0.7134600158353127,0.6933593321631744,0.8037770397282742,0.0903170238929614,0.0903170238929613,0.0368171021377672,0.1312747426761678,0.15153082034805998,-0.06261452854576322,-0.1938892712219311,-0.19388927122193117,-0.11266825019794138
GTSRB,42,noise,3,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.4444180522565321,0.4031179263102923,0.8343128239610604,0.3898947717045283,0.3899988102315912,0.198258115597783,0.5619160728424386,0.5438456607430319,0.6806114268888109,0.1186953540463723,0.1187265443853792,0.0250989707046714,0.11749802058590653,0.14072773443273956,-0.1537013970722495,-0.27119941765815603,-0.271272265846212,-0.1731591448931116
GTSRB,42,noise,4,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,12630,0.3590657165479018,0.3130175156454227,0.791630590518882,0.4325648739709801,0.4326070204294586,0.1925574030087094,0.4092636579572447,0.4052478949354581,0.5989344304785875,0.1896707725213428,0.1896707725213429,0.0210609659540775,0.05019794140934286,0.09223037929003541,-0.19269616004029444,-0.2428941014496373,-0.2429362479081157,-0.1714964370546319
